標題：人口重要指標
更新日期：2022.08.22
下載日期：2022.12.29
資料來源：國家發展委員會，中華民國人口推估（2022年至2070年）
來源網址：https://pop-proj.ndc.gov.tw/dataSearch.aspx?uid=3109&pid=59

推估情境,項目,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2021,2022,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,
高推估,總人口數(人) *,10792202,11149139,11511728,11883523,12256682,12628348,12992763,13296571,13650370,14334862,14675964,14994823,15367774,15642467,15927167,16223089,16579737,16882053,17202491,17543067,17866008,18193955,18515754,18790538,19069194,19313825,19509082,19725010,19954397,20156587,20401305,20605831,20802622,20995416,21177874,21357431,21525433,21742815,21928591,22092387,23375314,23177934,22322122,22204565,22081116,21951329,21815304,21673459,21525694,21371566,21211679,21046937,20877825,20704303,20526534,20345222,20161379,19974894,19786259,19595960,19404133,19210990,19016999,18822743,18628428,18433955,18239389,18044940,17850803,17657330,17464270,17271705,17079705,
高推估,男性人口數(人) *,5525062,5715463,5902218,6097634,6294935,6491539,6684006,6841155,7030787,7554131,7732867,7895140,8078038,8215703,8354012,8501391,8678165,8829635,8991263,9160239,9320105,9479508,9636285,9769572,9904853,10023344,10114710,10217434,10328081,10424102,10540635,10640276,10734609,10824161,10907032,10990657,11065798,11163764,11243408,11312728,11578696,11478033,10798999,10730380,10659449,10586045,10510170,10432061,10351801,10269243,10184753,10098794,10011583,9923091,9833219,9742254,9650743,9558475,9465634,9372401,9278824,9185003,9091132,8997444,8904047,8810869,8717885,8625206,8532908,8441165,8350046,8259592,8169749,
高推估,女性人口數(人) *,5267140,5433676,5609510,5785889,5961747,6136809,6308757,6455416,6619583,6780731,6943097,7099683,7289736,7426764,7573155,7721698,7901572,8052418,8211228,8382828,8545903,8714447,8879469,9020966,9164341,9290481,9394372,9507576,9626316,9732485,9860670,9965555,10068013,10171255,10270842,10366774,10459635,10579051,10685183,10779659,11796618,11699901,11523123,11474185,11421667,11365284,11305134,11241398,11173893,11102323,11026926,10948143,10866242,10781212,10693315,10602968,10510636,10416419,10320625,10223559,10125309,10025987,9925867,9825299,9724381,9623086,9521504,9419734,9317895,9216165,9114224,9012113,8909956,
高推估,性比例(女性=100) *,104.90,105.20,105.20,105.40,105.60,105.80,105.90,106.00,106.20,111.40,111.40,111.20,110.80,110.60,110.30,110.10,109.80,109.70,109.50,109.30,109.10,108.80,108.50,108.30,108.10,107.90,107.70,107.50,107.30,107.10,106.90,106.80,106.60,106.40,106.20,106.00,105.80,105.50,105.20,104.90,98.20,98.10,93.70,93.50,93.30,93.10,93.00,92.80,92.60,92.50,92.40,92.20,92.10,92.00,92.00,91.90,91.80,91.80,91.70,91.70,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.70,91.70,
高推估,人口增加率(‰),34.31,32.54,32.00,31.78,30.92,29.87,28.47,23.12,26.20,48.76,23.45,21.41,19.35,17.72,18.04,18.41,21.74,18.07,18.80,19.60,18.24,18.19,17.53,14.73,14.72,12.75,10.06,11.01,11.56,10.08,12.07,9.98,9.50,9.23,8.65,8.44,7.84,10.05,8.51,7.44,-7.89,-8.50,-4.90,-5.30,-5.60,-5.90,-6.20,-6.50,-6.80,-7.20,-7.50,-7.80,-8.10,-8.30,-8.60,-8.90,-9.10,-9.30,-9.50,-9.70,-9.80,-10.00,-10.20,-10.30,-10.40,-10.50,-10.60,-10.70,-10.80,-10.90,-11.00,-11.10,-11.20,
高推估,自然增加率(‰),32.63,31.58,30.97,30.18,28.84,27.27,27.02,23.03,23.82,22.92,22.28,20.88,19.45,19.03,18.65,18.28,21.22,18.98,19.42,19.67,18.61,18.13,17.31,15.68,14.85,13.23,11.03,11.10,12.09,10.57,11.34,10.52,10.20,10.27,9.91,9.90,9.47,9.48,6.79,7.16,-1.27,-2.20,-5.50,-5.80,-6.20,-6.50,-6.80,-7.10,-7.40,-7.80,-8.10,-8.40,-8.70,-9.00,-9.30,-9.50,-9.80,-10.00,-10.20,-10.40,-10.60,-10.80,-10.90,-11.10,-11.20,-11.30,-11.50,-11.60,-11.70,-11.80,-11.90,-12.00,-12.10,
高推估,社會增加率(‰),1.67,0.78,0.86,1.44,1.92,2.60,1.46,0.09,2.38,25.84,1.17,0.53,-0.10,-1.31,-0.62,0.13,0.52,-0.91,-0.62,-0.07,-0.37,0.06,0.22,-0.95,-0.13,-0.48,-0.97,-0.09,-0.53,-0.49,0.73,-0.54,-0.70,-1.04,-1.26,-1.46,-1.63,0.57,1.72,0.28,-6.65,-6.30,0.50,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.70,0.70,0.70,0.70,0.70,0.80,0.80,0.80,0.80,0.80,0.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,
高推估,0~14歲人口數(千人) **,4904,5112,5293,5446,5573,5667,5712,5755,5794,5806,5821,5805,5833,5805,5767,5738,5754,5735,5727,5741,5739,5754,5785,5790,5758,5716,5659,5601,5579,5543,5525,5427,5361,5280,5170,5076,4983,4914,4815,4735,2890,2814,2304,2294,2285,2275,2264,2253,2240,2224,2205,2192,2173,2142,2122,2095,2070,2045,2019,1994,1968,1941,1915,1890,1866,1844,1822,1801,1781,1764,1748,1733,1720,
高推估,15-64歲人口數(千人) **,5620,5759,5932,6135,6367,6626,6929,7175,7474,8125,8426,8736,9051,9330,9622,9917,10222,10500,10789,11075,11361,11637,11888,12121,12385,12621,12820,13031,13230,13412,13607,13833,14025,14225,14446,14650,14851,15076,15303,15492,16546,16299,13250,13008,12793,12561,12319,12085,11847,11620,11415,11214,11043,10918,10772,10604,10459,10292,10138,9980,9816,9655,9490,9325,9157,9038,8904,8748,8635,8530,8440,8356,8280,
高推估,65歲以上人口數(千人) **,268,278,286,303,317,335,353,367,383,404,428,454,484,507,537,568,604,647,686,728,766,803,842,879,926,977,1031,1093,1146,1201,1269,1345,1416,1491,1562,1631,1692,1752,1810,1865,3939,4064,6768,6903,7003,7115,7232,7336,7439,7528,7592,7641,7662,7645,7632,7647,7632,7638,7629,7622,7620,7615,7612,7608,7605,7552,7514,7496,7434,7364,7277,7182,7080,
高推估,0~14歲人口所占比率(%) **,45.44,45.85,45.98,45.82,45.47,44.88,43.96,43.28,42.45,40.50,39.66,38.71,37.96,37.11,36.21,35.37,34.71,33.97,33.29,32.72,32.12,31.63,31.25,30.81,30.20,29.60,29.01,28.39,27.96,27.50,27.08,26.34,25.77,25.15,24.41,23.77,23.15,22.60,21.96,21.43,12.36,12.10,10.30,10.30,10.30,10.40,10.40,10.40,10.40,10.40,10.40,10.40,10.40,10.30,10.30,10.30,10.30,10.20,10.20,10.20,10.10,10.10,10.10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.10,
高推估,15~64歲人口所占比率(%) **,52.07,51.66,51.53,51.62,51.94,52.47,53.33,53.96,54.75,56.68,57.42,58.26,58.89,59.65,60.42,61.13,61.65,62.19,62.72,63.13,63.59,63.96,64.21,64.51,64.95,65.35,65.71,66.06,66.30,66.54,66.70,67.13,67.42,67.75,68.21,68.60,68.99,69.34,69.79,70.13,70.79,70.30,59.40,58.60,57.90,57.20,56.50,55.80,55.00,54.40,53.80,53.30,52.90,52.70,52.50,52.10,51.90,51.50,51.20,50.90,50.60,50.30,49.90,49.50,49.20,49.00,48.80,48.50,48.40,48.30,48.30,48.40,48.50,
